"siteid","sitename","sitedescription","indigName","indigID","indigSlug"
"1757","Nonconnah Creek [TN-1]","","Mobilian Jargon","32577","mobilian-jargon"
"3531","Chimney Rock Animal Trap","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"3531","Chimney Rock Animal Trap","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"3531","Chimney Rock Animal Trap","","Ute","34257","ute-2"
"3532","Lindenmeier [5LR13]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3532","Lindenmeier [5LR13]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3532","Lindenmeier [5LR13]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"3532","Lindenmeier [5LR13]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"3532","Lindenmeier [5LR13]","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"3533","Jones-Miller","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3533","Jones-Miller","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3533","Jones-Miller","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"3533","Jones-Miller","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"3533","Jones-Miller","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"3534","Selby","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3534","Selby","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3534","Selby","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"3534","Selby","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"3534","Selby","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"3535","Lamb Spring","Fossils come from stratified grey silty clays deposited by a spring at the head of a gulley, 3km east of the Front Range in Douglas County.","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3535","Lamb Spring","Fossils come from stratified grey silty clays deposited by a spring at the head of a gulley, 3km east of the Front Range in Douglas County.","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3535","Lamb Spring","Fossils come from stratified grey silty clays deposited by a spring at the head of a gulley, 3km east of the Front Range in Douglas County.","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"3535","Lamb Spring","Fossils come from stratified grey silty clays deposited by a spring at the head of a gulley, 3km east of the Front Range in Douglas County.","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"3535","Lamb Spring","Fossils come from stratified grey silty clays deposited by a spring at the head of a gulley, 3km east of the Front Range in Douglas County.","Ute","34257","ute-2"
"3536","Blackwater Draw Loc. 1","","N<U+0289>m<U+0289>n<U+0289><U+0289> (Comanche)","34812","comanche"
"3536","Blackwater Draw Loc. 1","","Jumanos","34782","jumanos-2"
"3537","Spring Canyon [A-41]","","N<U+0289>m<U+0289>n<U+0289><U+0289> (Comanche)","34812","comanche"
"3538","Roper [41HC6(A62)]","","N<U+0289>m<U+0289>n<U+0289><U+0289> (Comanche)","34812","comanche"
"3539","Alibates","","N<U+0289>m<U+0289>n<U+0289><U+0289> (Comanche)","34812","comanche"
"3540","Canyon City Club Cave [A251]","","N<U+0289>m<U+0289>n<U+0289><U+0289> (Comanche)","34812","comanche"
"3541","Rex Rodgers [41BI42]","","N<U+0289>m<U+0289>n<U+0289><U+0289> (Comanche)","34812","comanche"
"3542","Deadman's Shelter [41SW23]","","N<U+0289>m<U+0289>n<U+0289><U+0289> (Comanche)","34812","comanche"
"3543","Lubbock Lake [41LU1]","","N<U+0289>m<U+0289>n<U+0289><U+0289> (Comanche)","34812","comanche"
"3543","Lubbock Lake [41LU1]","","Jumanos","34782","jumanos-2"
"3544","Dutton","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3544","Dutton","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3544","Dutton","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"3544","Dutton","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"3544","Dutton","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"3545","Greens Creek","Located on the shore of Ottawa River, where the south bank is a near-vertical scarp approximately 3 m high. Sediment is silt and sitly clay with some sand in abandoned river channel deposits (Gadd, 1980)","Anishinaabemowin","34645","anishinaabe"
"3545","Greens Creek","Located on the shore of Ottawa River, where the south bank is a near-vertical scarp approximately 3 m high. Sediment is silt and sitly clay with some sand in abandoned river channel deposits (Gadd, 1980)","Kanien<U+02BC>keh<U+00E1><U+A789>ka (Mohawk)","34367","mohawk-2"
"3546","Peccary Cave","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3546","Peccary Cave","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3546","Peccary Cave","","Caddo","34456","caddo-2"
"3546","Peccary Cave","","Osage","34269","osage-2"
"3548","Moonshiner","","Shoshoni","34682","shoshoni"
"3549","Jaguar Cave [Cave No. 2]","","Shoshoni","34682","shoshoni"
"3550","Dry Creek Rockshelter [10-AA-68]","","Shoshoni","34682","shoshoni"
"3550","Dry Creek Rockshelter [10-AA-68]","","Northern Paiute","34494","northern-paiute-2"
"3551","Bell Cave [48AB304]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3551","Bell Cave [48AB304]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3551","Bell Cave [48AB304]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"3551","Bell Cave [48AB304]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"3551","Bell Cave [48AB304]","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"3552","Little Box Elder Cave [48CO287]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3552","Little Box Elder Cave [48CO287]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3552","Little Box Elder Cave [48CO287]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"3552","Little Box Elder Cave [48CO287]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"3552","Little Box Elder Cave [48CO287]","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"3553","Little Canyon Creek Cave [48WA323]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3553","Little Canyon Creek Cave [48WA323]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3553","Little Canyon Creek Cave [48WA323]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"3553","Little Canyon Creek Cave [48WA323]","","Crow","34566","crow"
"3553","Little Canyon Creek Cave [48WA323]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"3554","Natural Trap Cave","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3554","Natural Trap Cave","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3554","Natural Trap Cave","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"3554","Natural Trap Cave","","Crow","34566","crow"
"3554","Natural Trap Cave","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"3555","Cahokia","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3555","Cahokia","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3555","Cahokia","","Illinois","34174","illinois"
"3556","Laurens","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3556","Laurens","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3556","Laurens","","Illinois","34174","illinois"
"3557","Phipps [13CK21]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3557","Phipps [13CK21]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3557","Phipps [13CK21]","","Yankton","34685","yankton"
"3557","Phipps [13CK21]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"3560","Natural Chimneys","","Tutelo-Saponi","34660","tutelo-saponi"
"3561","Clark's Cave","","Tutelo-Saponi","34660","tutelo-saponi"
"3562","Baker Bluff Cave","","<U+13E3><U+13B3><U+13A9> <U+13A6><U+13EC><U+13C2><U+13AF><U+13CD><U+13D7> Tsalagi Gawonihisdi (Cherokee)","34555","cherokee-2"
"3563","Robinson Cave","","Shawnee","34408","shawnee-2"
"3564","Ladds Quarry","","Mikis<U+00FA>k<U+00EE>-Hitchiti","34838","mikisuki-hitchiti"
"3564","Ladds Quarry","","<U+13E3><U+13B3><U+13A9> <U+13A6><U+13EC><U+13C2><U+13AF><U+13CD><U+13D7> Tsalagi Gawonihisdi (Cherokee)","34555","cherokee-2"
"3564","Ladds Quarry","","Mobilian Jargon","32577","mobilian-jargon"
"3565","Bat Cave (US:Missouri:Pulaski)","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3565","Bat Cave (US:Missouri:Pulaski)","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3565","Bat Cave (US:Missouri:Pulaski)","","Osage","34269","osage-2"
"3566","Brynjulfson Cave #1","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3566","Brynjulfson Cave #1","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3566","Brynjulfson Cave #1","","<U+00D1><U+00FA>t<U+2019>achi ich<U+2019><U+00E9> (Missouri)","34646","missouri"
"3567","Wilson Butte Cave [10Je6]","","Shoshoni","34682","shoshoni"
"3568","Potter Creek Cave [5357,1055]","","Winnemem Wintu","34489","winnemem-wintu"
"3569","Samwell Cave","","Winnemem Wintu","34489","winnemem-wintu"
"3570","Bell [Wn9]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3570","Bell [Wn9]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3570","Bell [Wn9]","","Menominee","34797","menominee-2"
"3570","Bell [Wn9]","","Hooc<U+0105>k (Ho-Chunk)","34758","ho-chunk"
"3570","Bell [Wn9]","","Fox","34542","fox"
"3570","Bell [Wn9]","","Kickapoo","34335","kickapoo"
"3572","Etowah","","Mikis<U+00FA>k<U+00EE>-Hitchiti","34838","mikisuki-hitchiti"
"3572","Etowah","","Mvskoke (Muscogee)","34561","muskogee"
"3572","Etowah","","<U+13E3><U+13B3><U+13A9> <U+13A6><U+13EC><U+13C2><U+13AF><U+13CD><U+13D7> Tsalagi Gawonihisdi (Cherokee)","34555","cherokee-2"
"3572","Etowah","","Mobilian Jargon","32577","mobilian-jargon"
"3573","Law's [MSv100]","","Koasati","34525","koasati"
"3573","Law's [MSv100]","","Mobilian Jargon","32577","mobilian-jargon"
"3574","Aztalan","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3574","Aztalan","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3574","Aztalan","","Menominee","34797","menominee-2"
"3574","Aztalan","","Hooc<U+0105>k (Ho-Chunk)","34758","ho-chunk"
"3574","Aztalan","","Illinois","34174","illinois"
"3575","Bornick [47MQ65]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3575","Bornick [47MQ65]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3575","Bornick [47MQ65]","","Hooc<U+0105>k (Ho-Chunk)","34758","ho-chunk"
"3575","Bornick [47MQ65]","","Kickapoo","34335","kickapoo"
"3576","Durst [SK2]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3576","Durst [SK2]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3576","Durst [SK2]","","Hooc<U+0105>k (Ho-Chunk)","34758","ho-chunk"
"3576","Durst [SK2]","","Kickapoo","34335","kickapoo"
"3577","Graham Cave","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3577","Graham Cave","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3577","Graham Cave","","Illinois","34174","illinois"
"3578","Arnold Research Cave [23CY64]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3578","Arnold Research Cave [23CY64]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3578","Arnold Research Cave [23CY64]","","<U+00D1><U+00FA>t<U+2019>achi ich<U+2019><U+00E9> (Missouri)","34646","missouri"
"3579","Raddatz Rockshelter [SK5]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3579","Raddatz Rockshelter [SK5]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3579","Raddatz Rockshelter [SK5]","","Hooc<U+0105>k (Ho-Chunk)","34758","ho-chunk"
"3579","Raddatz Rockshelter [SK5]","","Kickapoo","34335","kickapoo"
"3580","Zimmerman","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3580","Zimmerman","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3580","Zimmerman","","Bodw<U+00E9>wadmimwen","34711","bodwewadmimwen"
"3580","Zimmerman","","Illinois","34174","illinois"
"3581","Heins Creek","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3581","Heins Creek","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3581","Heins Creek","","Menominee","34797","menominee-2"
"3581","Heins Creek","","Odawa","33840","odawa-2"
"3582","Mero","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3582","Mero","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3582","Mero","","Menominee","34797","menominee-2"
"3582","Mero","","Odawa","33840","odawa-2"
"3584","Strait Canyon","","Tutelo-Saponi","34660","tutelo-saponi"
"3585","Middle Butte Cave","","Shoshoni","34682","shoshoni"
"3586","Crystal Ball Cave","","Ute","34257","ute-2"
"3587","Eagle Cave [DjPp-100]","","Ktunaxa","34430","ktunaxa-2"
"3588","Smith Springs [CR-110]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3588","Smith Springs [CR-110]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3588","Smith Springs [CR-110]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"3588","Smith Springs [CR-110]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"3589","Fort Ouiatenon","","Miami","34835","miami-2"
"3590","Loop Creek Quarry Cave","","<U+13E3><U+13B3><U+13A9> <U+13A6><U+13EC><U+13C2><U+13AF><U+13CD><U+13D7> Tsalagi Gawonihisdi (Cherokee)","34555","cherokee-2"
"3591","Back Creek Cave 1","","Tutelo-Saponi","34660","tutelo-saponi"
"3592","Ripplemead Quarry","","<U+13E3><U+13B3><U+13A9> <U+13A6><U+13EC><U+13C2><U+13AF><U+13CD><U+13D7> Tsalagi Gawonihisdi (Cherokee)","34555","cherokee-2"
"3593","Cheek Bend Cave [40MU261]","","Shawnee","34408","shawnee-2"
"3593","Cheek Bend Cave [40MU261]","","Mobilian Jargon","32577","mobilian-jargon"
"3595","Darty Cave","","<U+13E3><U+13B3><U+13A9> <U+13A6><U+13EC><U+13C2><U+13AF><U+13CD><U+13D7> Tsalagi Gawonihisdi (Cherokee)","34555","cherokee-2"
"3596","Prairie Creek [12Da9]","","Shawnee","34408","shawnee-2"
"3597","Pabst","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3597","Pabst","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3597","Pabst","","Illinois","34174","illinois"
"3598","Crawford Farm [Ri-81]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3598","Crawford Farm [Ri-81]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3598","Crawford Farm [Ri-81]","","Bodw<U+00E9>wadmimwen","34711","bodwewadmimwen"
"3598","Crawford Farm [Ri-81]","","Illinois","34174","illinois"
"3599","Kuhlman [CSv19]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3599","Kuhlman [CSv19]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3599","Kuhlman [CSv19]","","Bodw<U+00E9>wadmimwen","34711","bodwewadmimwen"
"3599","Kuhlman [CSv19]","","Illinois","34174","illinois"
"3600","Anderson Peat Mine","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3600","Anderson Peat Mine","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3600","Anderson Peat Mine","","Hooc<U+0105>k (Ho-Chunk)","34758","ho-chunk"
"3600","Anderson Peat Mine","","Illinois","34174","illinois"
"3601","Bell Cave [ACb-2]","","Chickasaw","34323","chickasaw-2"
"3601","Bell Cave [ACb-2]","","Mobilian Jargon","32577","mobilian-jargon"
"3604","Oakfield [MDa1-4]","","Wenro","34867","wenro"
"3605","Eschelman [36LA12]","","Susquehanna","34722","susquehanna"
"3606","Indian Knoll [15OH-2]","","Shawnee","34408","shawnee-2"
"3606","Indian Knoll [15OH-2]","","Mobilian Jargon","32577","mobilian-jargon"
"3607","Deer Creek Cave [EL-25]","","Shoshoni","34682","shoshoni"
"3620","Bronco Charlie [26EK801]","","Shoshoni","34682","shoshoni"
"3622","Sidey-Mackey [DbHa-6]","","Mississauga/Eastern Anishinaabemowin (Ojibwe)","34828","mississauga-eastern-anishinaabe-ojibwa"
"3622","Sidey-Mackey [DbHa-6]","","Anishinaabemowin","34645","anishinaabe"
"3623","Roebuck Village [BeFv-4]","","Anishinaabemowin","34645","anishinaabe"
"3623","Roebuck Village [BeFv-4]","","Kanien<U+02BC>keh<U+00E1><U+A789>ka (Mohawk)","34367","mohawk-2"
"3624","Bryan [21GD4]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3624","Bryan [21GD4]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3624","Bryan [21GD4]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"3626","Madisonville","","Shawnee","34408","shawnee-2"
"3628","Feurt","","Shawnee","34408","shawnee-2"
"3631","Uren [AfHd-3]","","Anishinaabemowin","34645","anishinaabe"
"3632","Middleport [AgHa-2]","","Anishinaabemowin","34645","anishinaabe"
"3633","Snell [CNj 35-1]","","Mahican","34573","mahican"
"3633","Snell [CNj 35-1]","","Kanien<U+02BC>keh<U+00E1><U+A789>ka (Mohawk)","34367","mohawk-2"
"3634","Frontenac Island","","Cayuga","34792","cayuga-2"
"3635","Kipp Island","","Cayuga","34792","cayuga-2"
"3636","Lawson [AgHh-1]","","Anishinaabemowin","34645","anishinaabe"
"3637","Cramer Village","","Ofo","34617","ofo"
"3638","Rock Run Shelter [13CD10]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3638","Rock Run Shelter [13CD10]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3638","Rock Run Shelter [13CD10]","","Illinois","34174","illinois"
"3640","Lasley's Point","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3640","Lasley's Point","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3640","Lasley's Point","","Hooc<U+0105>k (Ho-Chunk)","34758","ho-chunk"
"3640","Lasley's Point","","Fox","34542","fox"
"3641","Juntunen [20MK1]","","Anishinaabemowin","34645","anishinaabe"
"3641","Juntunen [20MK1]","","Odawa","33840","odawa-2"
"3642","Ft. Michilimackinac","","Odawa","33840","odawa-2"
"3643","Mason [40Fr8]","","Shawnee","34408","shawnee-2"
"3643","Mason [40Fr8]","","Yuchi","34326","yuchi"
"3643","Mason [40Fr8]","","Mobilian Jargon","32577","mobilian-jargon"
"3644","Smith Creek Cave [26WP46]","","Shoshoni","34682","shoshoni"
"3645","Snake Creek Burial Cave","","Southern Paiute","34889","southern-paiute-2"
"3645","Snake Creek Burial Cave","","Shoshoni","34682","shoshoni"
"3646","North Cove [25HN164]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3646","North Cove [25HN164]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3646","North Cove [25HN164]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"3646","North Cove [25HN164]","","Pawnee","34204","pawnee-2"
"3646","North Cove [25HN164]","","Ka<U+00E1><U+207F>ze","33543","kaa%e2%81%bfze"
"3647","Hidden Cave [NV-Ch-16 (Berkeley)] [26CH16]","","Northern Paiute","34494","northern-paiute-2"
"3648","Fort De Chartres","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3648","Fort De Chartres","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3648","Fort De Chartres","","Illinois","34174","illinois"
"3649","Harder [FbNs-1]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"3649","Harder [FbNs-1]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"3649","Harder [FbNs-1]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"3649","Harder [FbNs-1]","","<U+14C0><U+1426><U+1403><U+152D><U+140D><U+140F><U+1423> N<U+0113>hiyaw<U+0113>win (Plains Cree)","34221","plains-cree-2"
"3649","Harder [FbNs-1]","","Michif","33119","michif"
"3649","Harder [FbNs-1]","","Saulteaux","32519","saulteaux"
"3651","Westmoreland - Barber [40Mi11]","","Mikis<U+00FA>k<U+00EE>-Hitchiti","34838","mikisuki-hitchiti"
"3651","Westmoreland - Barber [40Mi11]","","Koasati","34525","koasati"
"3651","Westmoreland - Barber [40Mi11]","","Yuchi","34326","yuchi"
"3651","Westmoreland - Barber [40Mi11]","","Mobilian Jargon","32577","mobilian-jargon"
"3652","Bonfire Shelter [41VV218]","","Jumanos","34782","jumanos-2"
"3652","Bonfire Shelter [41VV218]","","Concho","34594","conchos-2"
"3653","Turner Farm [29.9]","The Turner Farm site is located on North Haven Island in Penobscot Bay... Like most of the 153 recorded prehistoric archaeological sites on the Fox Islands, the Turner Farm site is a shell midden situated on a relatively level terrace facing a gravel beach... The Turner Farm site is in a protected location facing Fox Islands Thorofare (Figure A5.3). The site is on a terrace and eroding bluff at the northern end of a small gravel barrier beach between Fish Point and Kent Cove. Modern environments include a fresh to brackish back-barrier marsh, sand and gravel barrier, and eroding bluffs of glacial sediment sitting on a bedrock ledge. Tidal flats containing Mya arenaria exist within 1-2 km NW and N of the site today, but the immediate intertidal area is a relatively steep, coarse-grained beachface. (Bourque 1995)","Abenaki","34650","abenaki"
"3654","Ceremonial Cave","","Nd<U+00E9> Bizaa<U+2019> (Mescalero Apache)","34729","mescalero"
"3654","Ceremonial Cave","","Mansos","34416","mansos-2"
"3655","Valley Farms","","Tonkawa","34568","tonkawa"
"3656","Carpenter Farm","","Tonkawa","34568","tonkawa"
"3657","Leo Boatwright Gravel Pit","","Tonkawa","34568","tonkawa"
"3658","Bishop Gravel Pit No.2","","Tonkawa","34568","tonkawa"
"3659","Wharton Gravel Pit","","Tonkawa","34568","tonkawa"
"3660","Bishop Gravel Pit No.3","","Tonkawa","34568","tonkawa"
"3661","Bishop Gravel Pit No.1","","Tonkawa","34568","tonkawa"
"3662","Locality 31538","","Tonkawa","34568","tonkawa"
"3663","Berclair Terrace Site 1 [TMM-31019]","","Karankawa","34811","karankawa"
"3663","Berclair Terrace Site 1 [TMM-31019]","","Coahuilteco","34615","coahuilteco"
"3663","Berclair Terrace Site 1 [TMM-31019]","","Lipan Apache","34571","lipan"
"3664","Howard Ranch","","[G<U+00E1>ui[d<U+00F2><U+00F1>:gy<U+00E0> (Kiowa)","34317","kiowa-2"
"3665","Clear Creek Local Fauna [Trietsch Pit]","","Wichita","34664","wichita-2"
"3666","Ben Franklin","","Tonkawa","34568","tonkawa"
"3667","Wunderlich [41CM3]","","Tonkawa","34568","tonkawa"
"3668","Footbridge [41CM2]","","Tonkawa","34568","tonkawa"
"3669","Oblate [41CM1]","","Tonkawa","34568","tonkawa"
"3670","Williams Cave","","Nd<U+00E9> Bizaa<U+2019> (Mescalero Apache)","34729","mescalero"
