"","neotoma_harm","faunmap$`Site Name`"
"46","Fletcher [8SJ57]","Fletcher Site"
"47","Alderman [8VO135]","Alderman Site"
"48","Little Salt Spring","Little Salt Springs"
"49","Granada","Granada"
"50","Useppa Island [8LL51]","Useppa Island"
"51","Gauthier [8BR193]","Gauthier"
"52","Hawthorne Mound [8AL462]","Hawthorne Mound"
"53","Hontoon Island [8VO202]","Hontoon Island"
"54","Bay West [8CR200]","Bay West Site"
"55","St. Johns River Power Park Site 8DU634 [JEA Borrow Pit]","St. Johns River Power Park Site 634"
"56","St. Johns River Power Park Site 8DU669","St. Johns River Power Park Site 669"
"57","Nichol's Hammock","Nichol's Hammock"
"58","Fig Springs Mission [8CO1]","Fig Springs Mission"
"59","Ichtucknee River 3B","Ichtucknee River 3B"
"60","Shell Mound","Shell Mound"
"61","Bay Pines [8PI64]","Bay Pines Site"
"62","Zabski","Zabski Site"
"63","Lake Apopka I [8OR17]","Lake Apopka I"
"64","Arch Creek [8DA23]","Arch Creek"
"65","Madden [Dd45]","Madden Site"
"66","Big Circle Mound Group [Tony's Mound]","Big Circle Mound Group"
"67","Pahokee Ridge","Pahokee Ridge Site"
"68","Cash Mound [8CH38]","Cash Mound"
"69","Big Mound Key [8CH10]","Big Mound Key"
"70","Catfish Creek [8SO608]","Catfish Creek Site"
"71","Meig's Pasture [8OK102]","Meig's Pasture Site"
"72","Josslyn Island [8LL32]","Josslyn Island"
"73","Horr's Island [8CR209]","Horr's Island"
"74","Perry Farms [Oaks of Miramar] [8BD1867]","Perry Farms"
"75","Grove's Orange Midden [8VO2601]","Grove's Orange Midden"
"76","Otis Hare [8LI172]","Otis Hare Site"
"77","Page-Ladson [8JE591]","Page/Ladson"
"78","West Palm Beach","West Palm Beach"
"79","Wheeler Springs [8OK1]","Wheeler Springs"
"80","St. Augustine","St. Augustine"
"81","Cutler Hammock [Cutler Fossil Site] [8DA2001]","Cutler Hammock"
"82","Alligator Ford [8CI199]","Alligator Ford"
"83","Bishops Hammock [8BD66]","Bishops Hammock"
"84","Brothers [8SO31]","Brothers Site"
"85","Buck Key Midden [8LL722]","Buck Key Midden"
"86","Cagles Hammock","Cagles Hammock"
"87","Hornsville [8JA387]","Hornsville Site"
"88","Markham Park Mound No. 2","Markham Park Mound No. 2"
"89","Mulberry Mound [8OR10]","Mulberry Mound"
"90","Myakkahatchee [8SO397]","Myakkahatchee"
"91","Narvaez Midden [8PI54]","Narvaez Midden"
"92","Old Oak","Old Oak Site"
"93","Palm River Midden [8HI108]","Palm River Midden"
"94","Patrician Shell Mound","Patrician Shell Mound"
"95","Republic Groves [8HR4]","Republic Groves Site"
"96","Riviera [8PB30]","Riviera Site"
"97","Roberts Bay","Roberts Bay Site"
"98","Arredondo 1A","Arredondo 1A"
"99","Arredondo 1B","Arredondo 1B"
"100","Arredondo 2A","Arredondo 2A"
"101","Bison Landing","Bison Landing"
"102","Chipola River 1A","Chipola River 1A"
"103","Chipola River 2A","Chipola River 2A"
"104","Dampier's Landing [Ichtucknee 5A]","Dampier's Landing"
"105","Devil's Den","Devil's Den"
"106","Devil's Eye Spring","Devil's Eye Spring"
"107","Eichelberger Cave","Eichelberger Cave"
"108","Haile 11B","Haile 11B"
"109","Haile 14A [Haile XIVA]","Haile 14A"
"110","Haile 7A","Haile 7A"
"111","Haile 8A","Haile 8A"
"112","Kendrick 1A","Kendrick 1A"
"113","Lecanto 2A","Lecanto 2A"
"114","Mefford Cave I","Mefford Cave 1"
"115","Melbourne [Golf Course Locality]","Melbourne"
"116","Monkey Jungle Hammock","Monkey Jungle Hammock"
"117","Monkey Jungle No. 2","Monkey Jungle No. 2"
"118","Natural Spring Sink","Natural Spring Sink"
"119","New Port","New Port"
"120","Norden","Norden Site"
"121","Reddick 1A","Reddick 1A"
"122","Reddick 2C","Reddick 2C"
"123","Roberts","Roberts Site"
"124","Rock Springs","Rock Springs"
"125","Santa Fe Springs","Santa Fe Springs"
"126","Sebastian Canal","Sebastian Canal"
"127","Seminole Field","Seminole Field"
"128","Simpson's Camp","Simpson's Camp"
"129","Sunken Spring","Sunken Spring"
"130",NA,"Vero 2"
"131","Vero 3","Vero 3"
"132","Waccasassa River 2B and 3A","Waccasassa River 2B and 3A"
"133","Wakulla Springs","Wakulla Springs"
"134","Wilson's Springs","Wilson's Springs"
"135","Withlacoochee River 7A","Withlacoochee River 7A"
"136","Cut Off Sink [8JE258]","Cut Off Sink"
"137","Darby Spring","Darby Spring"
"138","Gingery Cache [8TA99]","Gingery Cache Site"
"139","Guest Mammoth [8MR130]","Guest Mammoth Site"
"140","Hornsby Springs","Hornsby Springs"
"141","Ladson Rise [8JE602]","Ladson Rise"
"142","Priscilla Site [Aucilla River 2C] [8JE604]","Priscilla Site"
"143","Santa Fe IA","Santa Fe 1A"
"144","Simpson's Flats","Simpson's Flats"
"145","Wacissa River Bison","Wacissa River Bison Site"
"146","Ward Island 1","Ward Island 1"
"147","Warm Mineral Spring [8SO19]","Warm Mineral Spring"
"148","Butler","Butler Site"
