FILINGPERIODNAME,REPORTTYPECODE,REPORTNAME,REGISTRANTTYPE,DATEFILED,AMENDEDDATE,COMMITTEE ID,REGISTRANTNAME,ELECTIONYEAR,BRANCH,FILINGYEAR,EXTENSION,COMMENTFLAG,ATTACHMENT,VIEWREPORTTYPE,CREATEDDATE,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/18/2020,8/26/2020,0105355,Macco for Wisconsin,,State Assembly  District No. 88,2020,,False,,1,2020-07-15T09:57:56.293,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/27/2020,8/28/2020,0106225,The Time is Now to Elect Scott Soik,,State Assembly  District No. 71,2020,,False,,1,2020-04-10T13:49:11.677,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,9/1/2020,,0106223,Will for Racine,,State Assembly  District No. 66,2020,,False,,1,2020-07-18T20:26:17.477,
Fall Pre-Election 2020,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,9/3/2020,10/19/2020,1100009,Citizen Action of Wisconsin Inc.,2020,,2020,,False,,1,2020-07-15T10:36:55.210,
Fall Pre-Election 2020,EB7,Independent Expenditure,Unregistered Express Advocacy,9/4/2020,10/22/2020,1200047,NEA Advocacy Fund,2020,,2020,,False,,0,2020-09-04T10:51:39.987,
September Report 2020,EB7,Independent Expenditure,Unregistered Express Advocacy,9/4/2020,,1200047,NEA Advocacy Fund,,,2020,,False,,0,2020-09-04T10:51:39.987,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,9/4/2020,,0106251,Friends of Kevin Hoyer,,State Assembly  District No. 94,2020,,False,,1,2020-04-21T15:01:43.050,
Fall Pre-Election 2020,EB3,Receipt - 72-Hour Report,State Candidate,9/5/2020,9/5/2020,0106236,Ed Hibsch for State Assembly,2020,State Assembly  District No. 64,2020,,False,,1,2020-06-09T10:44:32.877,
Fall Pre-Election 2020,EB7,Independent Expenditure,Unregistered Express Advocacy,9/11/2020,10/23/2020,1200011,For Our Future,2020,,2020,,False,,0,2018-02-28T20:59:29.213,
Fall Pre-Election 2020,EB3,Receipt - 72-Hour Report,State Candidate,9/11/2020,10/20/2020,0106213,Armstrong for State Assembly,2020,State Assembly  District No. 75,2020,,False,,1,2020-03-26T12:19:09.117,
Fall Pre-Election 2020,EB7,Independent Expenditure,Unregistered Express Advocacy,9/11/2020,10/22/2020,1200010,Americans For Prosperity,2020,,2020,,False,,0,2018-01-22T09:41:05.800,
Fall Pre-Election 2020,EB3,Receipt - 72-Hour Report,Independent Expenditure Committee,9/11/2020,10/9/2020,1100103,Wisconsin Conservation Voters Independent Expenditure Committee,2020,,2020,,False,,1,2020-07-23T22:09:09.580,
Fall Pre-Election 2020,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,9/11/2020,10/9/2020,1100103,Wisconsin Conservation Voters Independent Expenditure Committee,2020,,2020,,False,,1,2020-07-23T22:09:09.580,
Fall Pre-Election 2020,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,9/14/2020,,1100058,Wisconsin REALTORS Political Fund,2020,,2020,,False,,1,2019-09-12T13:01:43.353,
Fall Pre-Election 2020,EB3,Receipt - 72-Hour Report,Independent Expenditure Committee,9/14/2020,9/14/2020,1100112,A Better Wisconsin Together Political Fund,2020,,2020,,False,,1,2020-03-29T22:15:12.780,
Fall Pre-Election 2020,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,9/14/2020,10/20/2020,1100112,A Better Wisconsin Together Political Fund,2020,,2020,,False,,1,2020-03-29T22:15:12.780,
Fall Pre-Election 2020,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,9/14/2020,10/19/2020,1100089,WMC Jobs Fund,2020,,2020,,False,,1,2020-01-13T12:23:37.797,
Fall Pre-Election 2020,EB3,Receipt - 72-Hour Report,State Candidate,9/14/2020,9/16/2020,0106251,Friends of Kevin Hoyer,2020,State Assembly  District No. 94,2020,,False,,1,2020-04-21T15:01:43.050,
Fall Pre-Election 2020,EB7,Independent Expenditure,Unregistered Express Advocacy,9/15/2020,11/3/2020,1200039,American Majority Action,2020,,2020,,False,,0,2020-03-26T08:57:32.850,
Fall Pre-Election 2020,EB7,Independent Expenditure,Unregistered Express Advocacy,9/17/2020,11/1/2020,1200017,Service Employees International Union Committee on Political Education,2020,,2020,,False,,0,2018-07-18T21:41:49.093,
Fall Pre-Election 2020,EB3,Receipt - 72-Hour Report,State Candidate,9/18/2020,,0105806,T E Pronschinske for Assembly,2020,State Assembly  District No. 92,2020,,False,,1,2020-05-28T11:52:46.950,
Fall Pre-Election 2020,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,9/18/2020,10/19/2020,1100010,Planned Parenthood Advocates of Wisconsin Political Fund,2020,,2020,,False,,1,2020-01-14T21:11:04.350,
September Report 2020,EB7,Independent Expenditure,Independent Expenditure Committee,9/20/2020,,1100103,Wisconsin Conservation Voters Independent Expenditure Committee,,,2020,,False,,1,2020-07-23T22:09:09.580,
Fall Pre-Election 2020,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,9/21/2020,10/19/2020,1100065,Jobs First Coalition Political Fund,2020,,2020,,False,,1,2020-01-14T14:03:58.787,
Fall Pre-Election 2020,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,9/21/2020,10/2/2020,1100001,American Federation for Children Action Fund - Wisconsin IE Committee,2020,,2020,,False,,1,2020-07-15T12:16:48.150,
Fall Pre-Election 2020,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,9/21/2020,,1100007,Republican State Leadership Committee Inc.,2020,,2020,,False,,1,2020-09-21T12:46:57.297,
September Report 2020,EB7,Independent Expenditure,Independent Expenditure Committee,9/21/2020,,1100118,Voters First Wisconsin Committee,,,2020,,False,,1,2020-08-03T12:26:49.620,
September Report 2020,EB7,Independent Expenditure,Independent Expenditure Committee,9/21/2020,9/21/2021,1100113,SEIU Wisconsin State Council Independent Expenditure Committee,,,2020,,False,,1,2020-02-18T14:02:28.613,
September Report 2020,EB7,Independent Expenditure,Independent Expenditure Committee,9/22/2020,,1100110,LBC Political Fund,,,2020,,False,,1,2019-07-09T20:37:37.317,
September Report 2020,EB7,Independent Expenditure,PAC,9/22/2020,8/24/2021,0500189,WEAC PAC,,,2020,,False,,1,2020-03-31T08:19:03.917,
July Continuing 2020,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,9/22/2020,,1100113,SEIU Wisconsin State Council Independent Expenditure Committee,,,2020,,False,,1,2020-09-22T16:05:09.033,
July Continuing 2020,EB7,Independent Expenditure,Independent Expenditure Committee,7/15/2020,9/21/2021,1100113,SEIU Wisconsin State Council Independent Expenditure Committee,,,2020,,False,,1,2020-02-18T14:02:28.613,
September Report 2020,EB7,Independent Expenditure,Independent Expenditure Committee,9/22/2020,,1100009,Citizen Action of Wisconsin Inc.,,,2020,,False,,1,2020-07-15T10:36:55.210,
Fall Pre-Election 2020,EB7,Independent Expenditure,Unregistered Express Advocacy,9/23/2020,10/12/2020,1200045,Make Liberty Win,2020,,2020,,False,,0,2020-07-13T13:32:28.410,
Fall Pre-Election 2020,EB3,Receipt - 72-Hour Report,Independent Expenditure Committee,9/25/2020,,1100001,American Federation for Children Action Fund - Wisconsin IE Committee,2020,,2020,,False,,1,2020-07-15T12:16:48.150,
Fall Pre-Election 2020,EB7,Independent Expenditure,Unregistered Express Advocacy,9/25/2020,,1200005,Planned Parenthood Advocates of Wisconsin - C4,2020,,2020,,False,,0,2016-09-21T16:05:29.527,
Fall Pre-Election 2020,EB7,Independent Expenditure,Unregistered Express Advocacy,9/25/2020,10/12/2020,1200048,Win Justice,2020,,2020,,False,,0,2020-09-25T19:14:52.960,
Fall Pre-Election 2020,EB3,Receipt - 72-Hour Report,PAC,9/30/2020,1/12/2021,0500842,Volunteers for Agriculture VFA,2020,,2020,,False,,1,2019-12-19T10:01:01.823,
Fall Pre-Election 2020,EB7S,Independent Expenditure - 72-Hour,PAC,9/30/2020,1/12/2021,0500842,Volunteers for Agriculture VFA,2020,,2020,,False,,1,2019-12-19T10:01:01.823,
Fall Pre-Election 2020,EB3,Receipt - 72-Hour Report,Independent Expenditure Committee,10/6/2020,,1100087,Wisconsin Right to Life Victory Fund,2020,,2020,,False,,1,2020-01-15T14:27:18.503,
Fall Pre-Election 2020,EB7,Independent Expenditure,Unregistered Express Advocacy,10/7/2020,10/16/2020,1200019,Voces de la Frontera Action Inc.,2020,,2020,,False,,0,2018-08-02T10:24:47.480,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/7/2020,10/27/2020,0105572,Vorpagel for Assembly,,State Assembly  District No. 27,2020,,False,,1,2020-01-11T10:00:21.490,
September Report 2020,EB2,Committee Report,Political Party,11/1/2022,,0300072,Fond du Lac Co Republican Pty,,,2020,,False,,1,2022-02-21T14:48:22.587,
January Continuing 2021,EB2A,Committee Report - No Activity,State Candidate,1/18/2021,11/16/2022,0106222,Tucker Gretebeck for Assembly,,State Assembly  District No. 96,2020,,True,,0,2020-07-30T11:19:43,
Fall Pre-Election 2020,EB3,Receipt - 72-Hour Report,State Candidate,10/13/2020,,0106225,The Time is Now to Elect Scott Soik,2020,State Assembly  District No. 71,2020,,False,,1,2020-04-10T13:49:11.677,
Fall Pre-Election 2020,EB7,Independent Expenditure,Unregistered Express Advocacy,10/16/2020,10/21/2020,1200049,PACRONYM,2020,,2020,,False,,0,2020-10-16T15:06:12.947,
January Continuing 2021,EB7,Independent Expenditure,Unregistered Express Advocacy,10/16/2020,11/6/2020,1200019,Voces de la Frontera Action Inc.,,,2020,,False,,0,2018-08-02T10:24:47.480,
Fall Pre-Election 2020,EB3,Receipt - 72-Hour Report,Independent Expenditure Committee,10/17/2020,,1100085,Wisconsin Working Families Party Independent Expenditure Committee,2020,,2020,,False,,1,2020-10-17T19:08:26.617,
Fall Pre-Election 2020,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,10/17/2020,10/20/2020,1100085,Wisconsin Working Families Party Independent Expenditure Committee,2020,,2020,,False,,1,2020-10-17T19:08:26.617,
Fall Pre-Election 2020,EB7,Independent Expenditure,Unregistered Express Advocacy,10/19/2020,10/23/2020,1200025,AFT-Wisconsin,2020,,2020,,False,,0,2018-10-12T13:02:22.170,
July Continuing 2020,EB2,Committee Report,PAC,1/5/2023,,0500049,Cooperative Outreach for Objective Politics,,,2020,,False,,1,2022-10-13T11:52:17.837,
Fall Pre-Election 2020,EB2,Committee Report,PAC,1/5/2023,,0500049,Cooperative Outreach for Objective Politics,2020,,2020,,False,,1,2022-10-13T11:52:17.837,
September Report 2020,EB2,Committee Report,PAC,1/5/2023,,0500049,Cooperative Outreach for Objective Politics,,,2020,,False,,1,2022-10-13T11:52:17.837,
January Continuing 2021,EB2,Committee Report,PAC,1/5/2023,,0500049,Cooperative Outreach for Objective Politics,,,2020,,False,,1,2022-10-13T11:52:17.837,
Fall Pre-Election 2020,EB3,Receipt - 72-Hour Report,State Candidate,10/19/2020,,0104606,Friends of Kelda Roys,2020,State Senate  District No. 26,2020,,False,,1,2020-03-27T06:34:57.287,
January Continuing 2021,EB3,Receipt - 72-Hour Report,PAC,10/20/2020,,0501314,ACEC WI PAC,,,2020,,False,,1,2020-09-02T10:56:22.403,
January Continuing 2021,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,10/20/2020,10/28/2020,1100089,WMC Jobs Fund,,,2020,,False,,1,2020-01-13T12:23:37.797,
January Continuing 2021,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,10/20/2020,10/28/2020,1100065,Jobs First Coalition Political Fund,,,2020,,False,,1,2020-01-14T14:03:58.787,
January Continuing 2021,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,10/20/2020,10/28/2020,1100112,A Better Wisconsin Together Political Fund,,,2020,,False,,1,2020-09-23T16:48:55.670,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/20/2020,11/5/2020,0106178,Bonnie Lee for Wisconsin,,State Assembly  District No. 14,2020,,False,,1,2020-01-20T11:06:21.443,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/20/2020,11/1/2020,0105472,Friends of Mark Spreitzer,,State Assembly  District No. 45,2020,,False,,1,2020-01-15T20:44:01.777,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/20/2020,11/1/2020,0106008,Winker for Wisconsin,,State Assembly  District No. 38,2020,,False,,1,2020-01-02T19:28:23.257,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/20/2020,11/1/2020,0105360,Testin for Senate,,State Senate  District No. 24,2020,,False,,1,2020-01-15T09:40:36.573,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/21/2020,11/6/2020,0106036,Joel for Wisconsin,,State Assembly  District No. 63,2020,,False,,1,2020-05-11T14:44:53.310,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/21/2020,11/2/2020,0106195,Clint Moses for WI 29th,,State Assembly  District No. 29,2020,,False,,1,2020-04-20T09:54:42.380,
January Continuing 2021,EB3,Receipt - 72-Hour Report,Legislative Campaign Committee,10/21/2020,11/2/2020,0400001,Assembly Democratic Camp Comm,,,2020,,False,,1,2020-07-15T17:59:58.910,
January Continuing 2021,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,10/21/2020,10/21/2020,1100058,Wisconsin REALTORS Political Fund,,,2020,,False,,1,2020-10-07T09:10:15.260,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/21/2020,11/2/2020,0105594,Friends of Eric Wimberger,,State Senate  District No. 30,2020,,False,,1,2019-07-15T12:36:26.630,
Fall Pre-Election 2020,EB7,Independent Expenditure,Unregistered Express Advocacy,10/21/2020,,1200014,American Majority Action,2020,,2020,,False,,0,2018-04-02T12:25:23.920,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/21/2020,11/2/2020,0105261,Sanfelippo for Assembly,,State Assembly  District No. 15,2020,,False,,1,2020-01-19T13:02:33.123,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/21/2020,10/26/2020,0104141,Krug for Assembly,,State Assembly  District No. 72,2020,,False,,1,2020-05-28T14:07:57.237,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/21/2020,10/30/2020,0104528,Taxpayers for Stafsholt,,State Senate  District No. 10,2020,,False,,1,2019-11-18T23:29:59.150,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/21/2020,,0105254,Friends of Mary,,State Senate  District No. 12,2020,,False,,1,2020-09-23T08:07:33.830,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/21/2020,11/3/2020,0103851,Kapanke for Senate,,State Senate  District No. 32,2020,,False,,1,2020-07-14T21:31:29.487,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/22/2020,10/30/2020,0102511,Friends of Alberta Darling,,State Senate  District No. 08,2020,,False,,1,2020-03-05T12:40:36.700,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/22/2020,11/1/2020,0103368,Pfaff for State Senate,,State Senate  District No. 32,2020,,False,,1,2020-04-26T20:27:36.863,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/22/2020,11/1/2020,0105957,Kriss Marion for SW Wisconsin,,State Assembly  District No. 51,2020,,False,,1,2020-05-01T20:46:52.823,
January Continuing 2021,EB3,Receipt - 72-Hour Report,Independent Expenditure Committee,10/22/2020,,1100010,Planned Parenthood Advocates of Wisconsin Political Fund,,,2020,,False,,1,2020-01-14T21:11:04.350,
January Continuing 2021,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,10/22/2020,11/4/2020,1100010,Planned Parenthood Advocates of Wisconsin Political Fund,,,2020,,False,,1,2020-01-14T21:11:04.350,
January Continuing 2021,EB3,Receipt - 72-Hour Report,Political Party,10/22/2020,11/4/2020,0300054,Democratic Party of Wisconsin,,,2020,,False,,1,2020-10-21T12:02:49.393,
Fall Pre-Election 2020,EB7,Independent Expenditure,Independent Expenditure Committee,10/22/2020,,1100007,Republican State Leadership Committee Inc.,2020,,2020,,False,,1,2020-10-22T14:14:13.203,
Fall Pre-Election 2020,EB7,Independent Expenditure,Unregistered Express Advocacy,10/22/2020,10/23/2020,1200050,AFSCME Special Account,2020,,2020,,False,,0,2020-10-22T14:46:26.970,
January Continuing 2021,EB7,Independent Expenditure,Unregistered Express Advocacy,10/22/2020,10/28/2020,1200050,AFSCME Special Account,,,2020,,False,,0,2020-10-22T14:46:26.970,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/22/2020,11/3/2020,0105714,Zimmerman for Wisconsin,,State Assembly  District No. 30,2020,,False,,1,2020-05-20T12:07:13.350,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/22/2020,11/2/2020,0104283,Friends & Neighbors of Robin Vos,,State Assembly  District No. 63,2020,,False,,1,2020-05-27T09:03:30.237,
January Continuing 2021,EB7,Independent Expenditure,Unregistered Express Advocacy,10/22/2020,10/30/2020,1200010,Americans For Prosperity,,,2020,,False,,0,2018-01-22T09:41:05.800,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/22/2020,10/26/2020,0106163,Chase Binnie for Assembly,,State Assembly  District No. 80,2020,,False,,1,2019-12-01T21:47:32.953,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/22/2020,1/12/2021,0106309,August for Assembly,,State Assembly  District No. 62,2020,,False,,1,2020-07-09T14:40:32.370,
July Continuing 2020,EB2,Committee Report,Political Party,1/12/2023,,0300345,2nd Cong Dist Democratic Party,,,2020,,False,,1,2023-01-05T13:34:00.717,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/22/2020,11/2/2020,0105920,Emily Siegrist for Wisconsin,,State Assembly  District No. 24,2020,,False,,1,2020-05-28T11:52:35.497,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/22/2020,11/1/2020,0106171,Friends of Jessica Katzenmeyer,,State Assembly  District No. 15,2020,,False,,1,2020-04-12T11:10:57.383,
Fall Pre-Election 2020,EB3,Receipt - 72-Hour Report,State Candidate,10/22/2020,,0106008,Winker for Wisconsin,2020,State Assembly  District No. 38,2020,,False,,1,2020-01-02T19:28:23.257,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/22/2020,11/2/2020,0104591,Tranel for Assembly,,State Assembly  District No. 49,2020,,False,,1,2020-01-12T17:49:09.387,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/23/2020,11/2/2020,0105960,Bolen for Wisconsin,,State Assembly  District No. 74,2020,,False,,1,2020-05-04T09:48:45.500,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/23/2020,11/19/2020,0106133,Joni Anderson for Senate 14,,State Senate  District No. 14,2020,,False,,1,2020-07-08T16:38:19.570,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/23/2020,11/15/2020,0105998,DanSchierlForAssembly55,,State Assembly  District No. 55,2020,,False,,1,2020-04-28T10:13:04.547,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/23/2020,,0105585,Friends of Terry Katsma,,State Assembly  District No. 26,2020,,False,,1,2020-04-06T11:01:46.617,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/23/2020,11/1/2020,0105450,Friends for Jessie,,State Assembly  District No. 21,2020,,False,,1,2020-08-03T09:45:23.537,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/23/2020,10/25/2020,0105282,Friends of Tod Ohnstad,,State Assembly  District No. 65,2020,,False,,1,2020-04-24T15:48:23.850,
January Continuing 2021,EB3,Receipt - 72-Hour Report,State Candidate,10/23/2020,11/1/2020,0106226,Friends of Kathy Hinkfuss,,State Assembly  District No. 04,2020,,False,,1,2020-04-10T12:00:10.377,
January Continuing 2021,EB3,Receipt - 72-Hour Report,Independent Expenditure Committee,10/23/2020,,1100103,Wisconsin Conservation Voters Independent Expenditure Committee,,,2020,,False,,1,2020-07-23T22:09:09.580,
